,0
^GSPC_ret_lag1,0.22079111891207012
AAPL_vol_5,0.1692642822769042
AAPL_mom_5,0.16182713776892288
QQQ_ret_lag2,0.1578691388974956
^GSPC_ret_lag5,0.14518441652795896
AAPL_mom_20,0.13883154162750344
^GSPC_ret_lag3,0.12874395566180788
MSFT_ret_lag2,0.12206371559181295
MSFT_ret_lag1,0.11258487114540515
AAPL_vol_20,0.08391023703080946
^GSPC_ret_lag2,0.06605363900572388
AAPL_vol_10,0.05790443857278933
AAPL_ret_lag5,0.05322156358883701
MSFT_ret_lag3,0.04207632081976171
MSFT_ret_lag5,0.03912985421222852
AMZN_ret_lag3,0.032418683471304395
QQQ_ret_lag5,0.031805047069620264
AAPL_ret_lag3,0.030849465727007343
AAPL_mom_10,0.03080373729715233
AMZN_ret_lag5,0.026539545370452517
